controller,task_id,SR_ep,return,steps,r_err,v_err,align,fuel_used,violations,success,ended_by_max,ended_by_violation,target_radius,e,mass,thrust_limit
expert_eco,random_4,1.0,-950.0768435465764,1752,0.008988071928456163,0.016596640774581225,0.998643750799434,5824014.084045569,0,True,0,0,217125853670.938,0.1661797953188444,720.0,120.70726140815057
expert_eco,random_5,0.0,3195.675452505659,30000,0.008699802554219585,0.07669574937567347,0.9566251052548613,3994353.7519321195,0,False,1,0,5895360802427.848,0.042350751269788,1000.0,126.95937157367302
expert_eco,random_6,0.0,1222.3996901969713,30000,0.003219390493454525,0.02244859746953032,0.960895617148311,6673913.849853868,0,False,1,0,4902550455020.217,0.2876436621281773,1000.0,101.9390928708895
expert_eco,random_7,1.0,-1094.2817229717455,3215,0.011280733585253668,0.00928617576352487,0.9973012469008168,7193461.360178796,0,True,0,0,361239700959.1134,0.21579368902590268,720.0,123.46694018390126
expert_eco,random_8,1.0,-16.74935019260707,3657,0.014266642069508019,0.022968171709872223,0.9845705077766858,3017389.4917704617,0,True,0,0,1935904675189.3079,0.24882362801204932,1000.0,136.04283537258792
expert_eco,random_9,1.0,-704.3150295005092,8747,0.013911745707725728,0.019016322166413743,0.9893125885678675,7767392.862448765,0,True,0,0,1316583984185.8306,0.36547417103096513,1000.0,136.11074468850524
expert_eco,random_10,0.0,4419.553150555684,30000,0.024552076017617084,0.008659219105368151,0.9641473059323278,2224858.1564533864,0,False,1,0,4447038821287.577,0.30751425770444013,600.0,126.70678543252708
expert_eco,random_11,0.0,-721.9681713927093,30000,0.008611315868735956,0.042505908126956794,0.9712250729286718,7980119.510162892,0,False,1,0,3687329230186.867,0.32200928760372927,1000.0,139.47896796974567
expert_eco,random_12,1.0,-1225.3746621451344,5819,0.012900367008686305,0.004725112540598645,0.9944333945919342,8892448.835903432,0,True,0,0,672518893415.0863,0.041569008939934586,1000.0,134.14536705017707
expert_eco,random_13,0.0,5136.231767514656,30000,0.002323190498104884,0.0430823008262431,0.993868730005813,798322.1886895448,0,False,1,0,8108285010823.027,0.3627390104602885,1000.0,140.6798921640596
expert_eco,random_14,1.0,81.64521025542166,14754,0.01432082974270986,0.02383286617033808,0.9833438075272956,4780760.5734183425,0,True,0,0,2088642119321.361,0.3236328684138678,600.0,112.89339862581824
expert_eco,random_15,0.0,-2397.0945130966347,30000,0.02869211711427842,0.07270386322640023,0.9327617654219726,4483483.542538138,0,False,1,0,4868855537837.845,0.36637721804762013,600.0,137.34194306225976
expert_eco,random_16,1.0,-398.21851445469076,8202,0.013672990269528972,0.0003334274137642956,0.9909435297845122,5835471.987263151,0,True,0,0,1078633832385.4099,0.28111613359826493,720.0,130.22601255683287
expert_eco,random_17,1.0,45.500835646334025,1063,0.014478756424130964,0.027680825019032955,0.9919201323736672,659284.519725836,0,True,0,0,1891107640129.1392,0.3589200346152126,600.0,118.08115109356024
expert_eco,random_18,0.0,1693.8697818195653,30000,0.011771095993636137,0.06912519492431841,0.9266934422679075,2779888.0212226254,0,False,1,0,9441601356783.166,0.04387709849702244,600.0,141.9006477930322
expert_eco,random_19,1.0,-85.20305039369886,922,0.01133882911104825,0.029342498284873578,0.9933366174409186,1180428.0417293047,0,True,0,0,1524598267174.8235,0.10591957606788288,720.0,104.15080910483258
expert_eco,random_20,0.0,3258.842999674235,30000,0.00470715955457399,0.019588936126618512,0.9561298066996223,3002926.6421495727,0,False,1,0,5555269280203.029,0.06768296923676101,600.0,109.29750482012459
expert_fast,fixed_1,0.0,-3176.739580901797,30000,0.3096574605639602,0.23530734991860414,0.9965125129765449,2051999.9999395653,0,False,1,0,500000000000.0,0.0,720.0,1.0
expert_fast,fixed_2,1.0,856.0279580789825,6714,0.0032461318749150737,0.02804632851149479,0.9946033867050985,409373.99998803437,0,True,0,0,700000000000.0,0.2,720.0,1.0
